Picture,ItemNo,alu,ItemName,Attribute,Size,DepartmentName,Vendor,unit,Qty,Cost,RegularPrice,ItemDescription
img/5822.jpg,5822,EC-P4191SCWM,Fused Unit With Neon 13A Hanlig,SC & WH,3x3,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,90,13,39,"Fused ( Spare ) Unit With Neon HAILER & HANLIGHT 13A 3x3 stain chrome ( 4217 )
 Location = G/1B05"
img/5823.jpg,5823,EC-P4191BSWM,Fused Unit With Neon 13A Hanlig,BS & WH,3x3,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,0,11,33,"Fused ( Spare ) Unit With Neon HAILER & HANLIGHT 13A 3x3 BRUSHED STEEL ( 4217 )
 Location = G/1B04"
img/5824.jpg,5824,EC-P4191PCWM,Fused Unit With Neon 13A Hanlig,PC & WH,3x3,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,72,11,33,"Fused ( Spare ) Unit With Neon HAILER & HANLIGHT 13A 3x3 POLISHED CHROME ( 4217 )
 Location = G/1B02"
img/5825.jpg,5825,EC-P3311SCBM,SW Socket+Neon 45A+13A Hanlight,SC & BK,3x6,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,76,19,57,"45A Cooker Switch + 13A Socket+Neon HAILER & HANLIGHT STAIN CHROME Finish ( 4220 )
 Location = G/1B05"
img/5826.jpg,5826,EC-P3311BSWM,SW Socket+Neon 45A+13A Hanlight,BS & WH,3x6,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,40,20,60,"45A Cooker Switch + 13A Socket+Neon HAILER & HANLIGHT Brushed steel ( 4220 ) 
 Location = G/1B04"
img/5827.jpg,5827,EC-P3311ABBM,SW Socket+Neon 45A+13A Hanlight,AG & BK,3x6,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,77,19,57,"45A Cooker Switch + 13A Socket+Neon HAILER & HANLIGHT ANTIQUE GOLD Finish Black Insert
 Location = G/1B05"
img/5828.jpg,5828,EC-P3311SCWM,SW Socket+Neon 45A+13A Hanlight,SC & WH,3x6,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,29,19,57,"45A Cooker Switch + 13A Socket+Neon HAILER & HANLIGHT STAIN CHROME Finish ( 4220 )
 Location = G/1B04"
img/5829.jpg,5829,EC-P3311BSBM,SW Socket+Neon 45A+13A Hanlight,BS & BK,3x6,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,16,19,57,"45A Cooker Switch + 13A Socket+Neon HAILER & HANLIGHT BRUSHED STEEL ( 4220 ) 
 Location = G/1B06"
img/5830.jpg,5830,EC-P3311PCWM,SW Socket+Neon 45A+13A Hanlight,PC & WH,3x6,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,138,19,57,"45A Cooker Switch + 13A Socket+Neon HAILER & HANLIGHT POLISHED CHROME Finish ( 4220 )
 Location = G/1B03"
img/5831.jpg,5831,BH-P3271PGWM .,DP Switch 1G Neon 45A Hanlight,GD & GD,3x3,Swi&Soc: Switch,HANGZHOU HAILER ELECTRICAL CO LTD.,Pcs,513,12,36,"45A 1Gang DP Neon Switch HAILER & HANLIGHT Golden & Double Pole 3x3 GOLD Finish
 Location = G/1B02, G/1B03"
